PageURL,Type,variable,value
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/portal/page/portal/msca/private/faces/oracle/webcenter/portalapp/pages/ei-correspondence.jspx,Employment and Social Development ,3.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-internet-reporting.html,Benefits,3.1.2017,1485810
www.canada.ca/en/revenue-agency/services/e-services/represent-a-client.html,Taxes,3.1.2017,0
www.canada.ca/en/services/benefits/ei.html,Benefits,3.1.2017,1426752
www.canada.ca/en/immigration-refugees-citizenship/services/application.html,Immigration,3.1.2017,0
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyPayments.aspx,Employment and Social Development ,3.1.2017,0
www.canada.ca/en/sr.html,Canada.Ca Home Page,3.1.2017,865424
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyCurrentClaim.aspx,Employment and Social Development ,3.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/cra-login-services.html,Taxes,3.1.2017,0
www.canada.ca/fr/emploi-developpement-social/services/mon-dossier/acceder.html,Employment and Social Development ,3.1.2017,858048
www.canada.ca/home.html,Canada.Ca Home Page,3.1.2017,569660
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyRoeList.aspx,Employment and Social Development ,3.1.2017,0
www1.canada.ca/en/logout/msca.html,Canada.Ca Home Page,3.1.2017,76580
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html,Immigration,3.1.2017,0
www.canada.ca/fr/emploi-developpement-social/services/mon-dossier.html,Employment and Social Development ,3.1.2017,658462
www.canada.ca/en/sr/srb.html,Canada.Ca Search,3.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html,Immigration,3.1.2017,0
www.canada.ca/fr/agence-revenu/services/services-electroniques/services-electroniques-particuliers/dossier-particuliers.html,Taxes,3.1.2017,0
www.canada.ca/en/services/taxes/income-tax.html,Taxes,3.1.2017,184136
www.canada.ca/fr.html,Canada.Ca Home Page,3.1.2017,429078
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada.html,Immigration,3.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account.html,Revenue,3.1.2017,0
www.canada.ca/en/services/immigration-citizenship/search.html,Immigration,3.1.2017,0
www.canada.ca/fr/agence-revenu.html,Taxes,3.1.2017,11868
www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/payroll-deductions-online-calculator.html,Taxes,3.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html,Immigration,3.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/gst-hst-netfile/gst-hst-netfile-ready-file-online-check-list.html,Taxes,3.1.2017,0
www.canada.ca/fr/services/prestations/ae/assurance-emploi-declaration-internet.html,Employment and Social Development ,3.1.2017,409052
www.canada.ca/en/revenue-agency/corporate/contact-information/telephone-numbers.html,Taxes,3.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/auto-fill-return-express-noa.html,Taxes,3.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/come-canada-tool.html,Immigration,3.1.2017,0
www.canada.ca/en/employment-social-development/programs/ei/ei-list/ei-roe/access-roe.html,Employment and Social Development ,3.1.2017,292935
www.canada.ca/fr/services/prestations/ae.html,Employment and Social Development ,3.1.2017,479007
www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte.html,Immigration,3.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-regular-benefit.html,Employment and Social Development ,3.1.2017,435609
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html,Immigration,3.1.2017,0
www1.canada.ca/en/esdc/service-canada.html,Employment and Social Development ,3.1.2017,0
www.canada.ca/en/services/jobs/opportunities.html,Jobs,3.1.2017,289380
www.canada.ca/en/revenue-agency/search.html,Taxes,3.1.2017,0
www.canada.ca/en/public-service-commission/jobs/services/gc-jobs.html,Jobs,3.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta.html,Immigration,3.1.2017,0
www.canada.ca/en/services/benefits/calendar.html,Benefits,3.1.2017,173612
srv136.services.gc.ca/sc/msca-mdsc/portal-portail/pro/ei-ae/meiio-mraed/Pages/MyPaymentDetails.aspx,Employment and Social Development ,3.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/gst-hst-netfile.html,Taxes,3.1.2017,0
www.canada.ca/en/revenue-agency/corporate/contact-information.html,Taxes,3.1.2017,0
www.canada.ca/en/services/taxes.html,Taxes,3.1.2017,65345
www23.statcan.gc.ca/imdb/p3VD.pl,Other,3.1.2017,0
recherche-search.gc.ca/rGs/s_r,Canada.Ca Search,3.1.2017,0
www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/service-canada.html,Employment and Social Development ,3.1.2017,318885
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply.html,Immigration,3.1.2017,0
www.canada.ca/fr/services/immigration-citoyennete.html,Immigration,3.1.2017,0
www.canada.ca/en/employment-social-development/services/my-account/before-register.html,Employment and Social Development ,3.1.2017,334490
www.canada.ca/en/public-service-commission/jobs/services/public-service-jobs.html,Jobs,3.1.2017,647708
www.canada.ca/en/immigration-refugees-citizenship/services/work-canada.html,Immigration,3.1.2017,0
www.canada.ca/en/contact.html,Canada.ca Contact page,3.1.2017,248293
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,Immigration,3.1.2017,0
www.canada.ca/en/services/jobs/opportunities/government.html,Jobs,3.1.2017,163390
www.canada.ca/en/services/taxes/income-tax/personal-income-tax.html,Taxes,3.1.2017,87469
www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/payments.html,Benefits,3.1.2017,272827
www.canada.ca/en/services/benefits.html,Benefits,3.1.2017,256560
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-passport-information.html,Immigration,3.1.2017,0
www.canada.ca/en/revenue-agency/services/e-services/cra-login-services/cra-login-services-register-forgot-your-user.html,Taxes,3.1.2017,0
www.canada.ca/en/services/benefits/ei/ei-regular-benefit/apply.html,Benefits,3.1.2017,158817
www.canada.ca/en/revenue-agency/services/e-services/e-services-individuals/account-individuals/help-account.html,Taxes,3.1.2017,0
www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,Immigration,3.1.2017,0
